Data;� vista R$;� vista US$;;;;;;;
02/01/2015;268,04;99,57;;;;;;;
05/01/2015;271,54;99,98;;;;;;;
06/01/2015;276,94;102,65;;;;;;;
07/01/2015;281,66;104,05;;;;;;;
08/01/2015;282,59;105,92;;;;;;;
09/01/2015;284,30;107,73;;;;;;;
12/01/2015;287,86;107,89;;;;;;;
13/01/2015;286,23;108,71;;;;;;;
14/01/2015;290,52;110,88;;;;;;;
15/01/2015;287,13;109,01;;;;;;;
16/01/2015;285,91;109,08;;;;;;;
19/01/2015;286,05;107,95;;;;;;;
20/01/2015;281,89;107,75;;;;;;;
21/01/2015;283,89;108,94;;;;;;;
22/01/2015;280,51;108,89;;;;;;;
23/01/2015;282,47;109,40;;;;;;;
26/01/2015;283,84;109,72;;;;;;;
27/01/2015;286,58;111,47;;;;;;;
28/01/2015;287,86;111,79;;;;;;;
29/01/2015;284,24;108,99;;;;;;;
30/01/2015;288,96;107,62;;;;;;;
02/02/2015;290,07;106,92;;;;;;;
03/02/2015;289,22;107,36;;;;;;;
04/02/2015;297,61;108,34;;;;;;;
05/02/2015;296,68;108,20;;;;;;;
06/02/2015;298,85;107,81;;;;;;;
09/02/2015;299,22;107,63;;;;;;;
10/02/2015;304,24;107,47;;;;;;;
11/02/2015;305,91;106,59;;;;;;;
12/02/2015;309,25;109,24;;;;;;;
13/02/2015;310,16;109,41;;;;;;;
18/02/2015;305,51;107,42;;;;;;;
19/02/2015;303,31;105,87;;;;;;;
20/02/2015;306,31;106,66;;;;;;;
23/02/2015;304,09;105,81;;;;;;;
24/02/2015;297,12;104,84;;;;;;;
25/02/2015;292,54;101,96;;;;;;;
26/02/2015;291,44;101,27;;;;;;;
27/02/2015;290,92;101,86;;;;;;;
02/03/2015;293,16;101,33;;;;;;;
03/03/2015;295,51;101,24;;;;;;;
04/03/2015;293,02;98,36;;;;;;;
05/03/2015;296,04;98,39;;;;;;;
06/03/2015;300,46;98,51;;;;;;;
09/03/2015;308,47;98,77;;;;;;;
10/03/2015;308,99;99,39;;;;;;;
11/03/2015;306,14;97,96;;;;;;;
12/03/2015;301,39;95,56;;;;;;;
13/03/2015;298,74;91,64;;;;;;;
16/03/2015;298,65;92,01;;;;;;;
17/03/2015;306,18;94,33;;;;;;;
18/03/2015;306,54;95,35;;;;;;;
19/03/2015;309,62;93,97;;;;;;;
20/03/2015;307,47;94,99;;;;;;;
23/03/2015;304,90;96,76;;;;;;;
24/03/2015;305,35;97,71;;;;;;;
25/03/2015;307,26;96,11;;;;;;;
26/03/2015;310,63;97,44;;;;;;;
27/03/2015;308,90;95,46;;;;;;;
30/03/2015;305,55;94,92;;;;;;;
31/03/2015;302,75;94,61;;;;;;;
01/04/2015;302,20;95,24;;;;;;;
02/04/2015;303,30;96,99;;;;;;;
06/04/2015;301,18;96,38;;;;;;;
07/04/2015;305,64;97,87;;;;;;;
08/04/2015;299,37;97,99;;;;;;;
09/04/2015;296,15;96,53;;;;;;;
10/04/2015;296,94;96,19;;;;;;;
13/04/2015;293,78;94,16;;;;;;;
14/04/2015;294,48;96,17;;;;;;;
15/04/2015;293,57;96,57;;;;;;;
16/04/2015;294,59;97,87;;;;;;;
17/04/2015;297,16;97,62;;;;;;;
20/04/2015;295,72;97,79;;;;;;;
22/04/2015;295,84;98,22;;;;;;;
23/04/2015;295,91;99,37;;;;;;;
24/04/2015;294,11;99,46;;;;;;;
27/04/2015;289,65;99,23;;;;;;;
28/04/2015;287,34;97,73;;;;;;;
29/04/2015;286,57;97,01;;;;;;;
30/04/2015;294,19;97,74;;;;;;;
04/05/2015;293,17;94,97;;;;;;;
05/05/2015;292,87;95,30;;;;;;;
06/05/2015;288,94;94,92;;;;;;;
07/05/2015;285,52;94,42;;;;;;;
08/05/2015;290,93;97,56;;;;;;;
11/05/2015;289,64;95,00;;;;;;;
12/05/2015;291,64;96,44;;;;;;;
13/05/2015;291,56;95,94;;;;;;;
14/05/2015;291,10;97,16;;;;;;;
15/05/2015;289,23;96,54;;;;;;;
18/05/2015;292,72;96,96;;;;;;;
19/05/2015;291,72;95,99;;;;;;;
20/05/2015;293,97;97,83;;;;;;;
21/05/2015;290,73;95,60;;;;;;;
22/05/2015;290,77;94,16;;;;;;;
25/05/2015;285,73;92,20;;;;;;;
26/05/2015;286,73;90,97;;;;;;;
27/05/2015;289,57;92,07;;;;;;;
28/05/2015;290,80;92,00;;;;;;;
29/05/2015;289,18;90,80;;;;;;;
01/06/2015;293,21;92,32;;;;;;;
02/06/2015;295,64;94,33;;;;;;;
03/06/2015;299,36;95,58;;;;;;;
05/06/2015;293,04;93,03;;;;;;;
08/06/2015;299,66;96,29;;;;;;;
09/06/2015;301,32;97,26;;;;;;;
10/06/2015;299,01;95,96;;;;;;;
11/06/2015;294,13;94,73;;;;;;;
12/06/2015;302,45;97,10;;;;;;;
15/06/2015;299,89;95,84;;;;;;;
16/06/2015;295,46;95,56;;;;;;;
17/06/2015;300,80;98,27;;;;;;;
18/06/2015;301,02;98,53;;;;;;;
19/06/2015;301,43;97,20;;;;;;;
22/06/2015;303,08;98,37;;;;;;;
23/06/2015;304,32;98,71;;;;;;;
24/06/2015;308,23;99,59;;;;;;;
25/06/2015;306,56;98,26;;;;;;;
26/06/2015;309,07;98,81;;;;;;;
29/06/2015;306,36;98,38;;;;;;;
30/06/2015;307,58;98,93;;;;;;;
01/07/2015;304,94;96,99;;;;;;;
02/07/2015;306,63;98,98;;;;;;;
03/07/2015;301,18;96,04;;;;;;;
06/07/2015;304,30;96,63;;;;;;;
07/07/2015;302,45;95,02;;;;;;;
08/07/2015;309,22;95,79;;;;;;;
09/07/2015;309,44;96,28;;;;;;;
10/07/2015;307,99;97,28;;;;;;;
13/07/2015;309,24;98,70;;;;;;;
14/07/2015;307,79;98,08;;;;;;;
15/07/2015;306,39;97,80;;;;;;;
16/07/2015;303,90;96,38;;;;;;;
17/07/2015;300,83;94,25;;;;;;;
20/07/2015;302,76;94,64;;;;;;;
21/07/2015;305,53;96,44;;;;;;;
22/07/2015;304,09;94,23;;;;;;;
23/07/2015;307,81;93,53;;;;;;;
24/07/2015;310,62;92,75;;;;;;;
27/07/2015;311,54;92,69;;;;;;;
28/07/2015;313,31;92,97;;;;;;;
29/07/2015;310,91;93,37;;;;;;;
30/07/2015;313,01;92,61;;;;;;;
31/07/2015;313,62;91,78;;;;;;;
03/08/2015;316,24;91,64;;;;;;;
04/08/2015;318,46;92,04;;;;;;;
05/08/2015;318,78;91,37;;;;;;;
06/08/2015;323,02;91,35;;;;;;;
07/08/2015;323,77;92,24;;;;;;;
10/08/2015;323,48;93,76;;;;;;;
11/08/2015;329,92;94,26;;;;;;;
12/08/2015;329,92;95,00;;;;;;;
13/08/2015;329,28;93,87;;;;;;;
14/08/2015;330,75;94,91;;;;;;;
17/08/2015;329,83;94,64;;;;;;;
18/08/2015;330,67;95,38;;;;;;;
19/08/2015;330,76;95,02;;;;;;;
20/08/2015;328,51;95,17;;;;;;;
21/08/2015;325,60;93,21;;;;;;;
24/08/2015;321,86;90,43;;;;;;;
25/08/2015;322,33;89,73;;;;;;;
26/08/2015;322,08;89,39;;;;;;;
27/08/2015;326,51;91,64;;;;;;;
28/08/2015;328,22;91,60;;;;;;;
31/08/2015;329,35;90,66;;;;;;;
01/09/2015;329,76;89,34;;;;;;;
02/09/2015;329,14;87,70;;;;;;;
03/09/2015;334,59;89,13;;;;;;;
04/09/2015;335,51;87,14;;;;;;;
08/09/2015;329,68;86,35;;;;;;;
