date; À vista R$; À vista US$;Unnamed: 3;Unnamed: 4;temperature_2m_max;temperature_2m_min;wind_speed_10m_max;rain_sum;precipitation_hours;rain
2016-04-01;386,17;95,40;;;11.188999;1.439;11.090103;0.0;0.0;0.0
2016-05-01;385,40;96,54;;;16.489;5.789;15.1884165;0.0;0.0;0.0
2016-06-01;385,58;95,96;;;21.739;15.639;11.503113;15.8;10.0;0.3
2016-07-01;382,68;94,63;;;26.739;15.589;16.363178;0.0;0.0;0.0
2016-08-01;387,01;95,94;;;20.838999;13.389;17.771753;0.0;0.0;0.0
2016-11-01;383,28;94,66;;;12.139;5.889;18.089775;4.6;13.0;0.0
2016-12-01;382,89;94,78;;;7.539;4.639;32.36398;4.3;16.0;0.4
2016-01-13;389,55;97,36;;;3.039;-0.611;17.106628;3.0000005;14.0;0.0
2016-01-14;385,07;96,41;;;2.589;-1.211;13.281023;0.1;2.0;0.0
2016-01-15;386,20;95,36;;;1.4890001;-1.161;12.261157;0.0;6.0;0.0
2016-01-18;384,96;95,50;;;-3.0609999;-8.711;10.966713;0.0;0.0;0.0
2016-01-19;387,04;95,59;;;-3.011;-12.761001;14.707222;0.0;2.0;0.0
2016-01-20;389,30;94,58;;;-0.211;-6.361;15.696165;0.0;2.0;0.0
2016-01-21;390,61;94,06;;;-1.061;-7.111;13.37825;0.0;0.0;0.0
2016-01-22;395,62;96,33;;;-2.161;-10.811001;15.1884165;0.0;0.0;0.0
2016-01-25;394,54;96,10;;;8.839;4.489;18.751125;0.8000001;3.0;0.1
2016-01-26;396,33;97,50;;;9.339;4.139;21.470612;1.1;2.0;0.0
2016-01-27;398,20;97,53;;;9.789;7.039;22.97522;1.2000002;6.0;0.4
2016-01-28;397,48;97,61;;;9.488999;0.33900002;26.576681;1.3;3.0;0.0
2016-01-29;397,50;98,76;;;8.289;0.68899995;25.068514;0.0;0.0;0.0
2016-01-02;395,70;99,67;;;0.839;-7.561;25.364037;0.0;0.0;0.0
2016-02-02;397,24;99,76;;;10.339;5.189;33.818928;0.8;3.0;0.0
2016-03-02;395,58;100,86;;;9.339;-1.0109999;23.893261;1.1;5.0;0.0
2016-04-02;400,37;102,90;;;14.589;1.139;19.228851;0.0;0.0;0.0
2016-05-02;401,58;102,63;;;17.689;4.789;11.165805;0.0;0.0;0.0
2016-10-02;395,03;100,39;;;18.189;9.389;12.475961;1.4000001;3.0;0.0
2016-11-02;399,97;100,57;;;8.738999;2.9390001;30.248568;1.0;3.0;0.0
2016-12-02;402,88;100,85;;;4.789;-2.3109999;25.96995;0.0;0.0;0.0
2016-02-15;401,52;100,58;;;4.389;0.68899995;18.692286;0.4;3.0;0.0
2016-02-16;400,69;98,59;;;2.739;-1.461;15.072783;0.0;0.0;0.0
2016-02-17;394,99;99,37;;;2.139;-2.161;22.35481;0.1;6.0;0.0
2016-02-18;399,44;98,92;;;5.739;-1.311;12.229406;0.0;0.0;0.0
2016-02-19;398,65;98,70;;;5.389;-2.011;10.787993;0.0;0.0;0.0
2016-02-22;394,94;100,16;;;9.938999;3.139;34.651752;12.400001;21.0;0.4
2016-02-23;393,19;99,29;;;6.989;1.889;20.240196;0.0;0.0;0.0
2016-02-24;383,35;96,95;;;5.389;-2.461;24.50381;0.0;0.0;0.0
2016-02-25;374,45;95,01;;;4.789;-3.411;13.358861;0.4;5.0;0.0
2016-02-26;375,16;93,91;;;4.239;-3.661;16.343367;0.0;0.0;0.0
2016-02-29;373,88;93,56;;;3.889;-1.5109999;21.252197;0.0;0.0;0.0
2016-01-03;372,45;94,43;;;-6.461;-9.761001;22.805367;0.0;0.0;0.0
2016-02-03;370,97;95,32;;;6.689;2.289;27.595825;0.0;0.0;0.0
2016-03-03;368,36;96,58;;;6.989;-2.161;8.699793;0.0;0.0;0.0
2016-04-03;358,37;95,08;;;18.289;3.789;11.966954;0.0;0.0;0.0
2016-07-03;356,02;93,99;;;20.689;11.789;14.345898;1.4000001;2.0;0.0
2016-08-03;357,27;95,19;;;21.338999;13.488999;17.447933;0.4;3.0;0.0
2016-09-03;354,57;95,83;;;25.889;16.588999;15.856356;0.2;1.0;0.0
2016-10-03;356,39;97,86;;;16.439;9.289;21.578989;6.9999995;11.0;0.0
2016-11-03;358,32;99,45;;;6.489;1.039;16.263872;0.0;0.0;0.0
2016-03-14;357,27;98,02;;;6.389;-1.811;11.720751;0.7;2.0;0.0
2016-03-15;356,65;94,95;;;6.539;-0.061;19.453327;1.0;2.0;0.7
2016-03-16;357,63;95,39;;;8.289;-1.611;15.5843;0.0;0.0;0.0
2016-03-17;361,42;99,16;;;9.438999;-1.411;12.074766;0.0;0.0;0.0
2016-03-18;363,32;101,20;;;6.989;-0.311;12.413476;0.0;0.0;0.0
2016-03-21;361,37;100,08;;;8.139;3.039;23.241617;2.3;12.0;0.0
2016-03-22;366,98;102,19;;;8.539;2.339;18.875126;1.4000001;9.0;0.0
2016-03-23;368,61;100,33;;;7.239;0.73899996;14.76439;0.5;4.0;0.0
2016-03-24;367,17;99,50;;;7.639;0.439;11.212135;0.2;2.0;0.0
2016-03-28;370,71;102,15;;;15.139;1.9890001;21.2522;2.0;5.0;0.0
2016-03-29;372,10;102,42;;;10.339;2.839;23.34455;6.7999997;14.0;0.0
2016-03-30;374,29;103,37;;;11.889;2.739;21.829777;1.8000002;5.0;0.0
2016-03-31;375,13;104,09;;;10.488999;3.289;7.7043357;0.8;5.0;0.0
2016-01-04;374,44;104,91;;;-3.911;-8.811001;21.41319;0.0;0.0;0.0
2016-04-04;375,33;104,17;;;18.989;6.439;9.422101;0.0;0.0;0.0
2016-05-04;375,54;102,33;;;13.539;6.189;20.456745;0.6;3.0;0.0
2016-06-04;379,93;104,15;;;25.439;13.589;9.422101;0.0;0.0;0.0
2016-07-04;382,16;103,59;;;21.489;11.389;14.77755;0.0;0.0;0.0
2016-08-04;379,46;105,32;;;26.289;16.838999;18.678415;0.8;3.0;0.1
2016-11-04;376,72;107,76;;;8.539;3.539;14.88242;0.0;0.0;0.0
2016-12-04;379,38;107,99;;;2.289;-3.8109999;7.928178;0.0;0.0;0.0
2016-04-13;378,33;108,40;;;16.739;5.689;9.220499;5.4;13.0;0.0
2016-04-14;376,52;108,13;;;11.938999;3.239;16.055355;4.0;8.0;1.2
2016-04-15;378,93;107,83;;;13.839;2.589;18.899143;4.6;5.0;0.0
2016-04-18;379,71;105,36;;;11.539;1.139;19.469976;0.0;0.0;0.0
2016-04-19;379,75;107,43;;;12.889;5.639;29.957972;0.1;1.0;0.0
2016-04-20;379,31;107,45;;;11.438999;1.839;21.599998;0.0;0.0;0.0
2016-04-22;382,25;106,98;;;12.438999;3.9390001;17.49615;0.0;0.0;0.0
2016-04-25;381,79;107,55;;;8.789;-0.261;19.353138;2.0;7.0;0.0
2016-04-26;382,40;108,54;;;9.238999;2.289;18.59845;4.1;11.0;0.7
2016-04-27;381,80;108,40;;;8.639;2.289;26.478971;2.6000004;12.0;0.0
2016-04-28;381,63;109,16;;;10.289;0.93899995;23.4;3.4;12.0;0.0
2016-04-29;381,25;110,86;;;13.589;0.33900002;21.322214;0.0;0.0;0.0
2016-02-05;379,71;108,77;;;6.539;-0.76100004;16.08761;0.90000004;3.0;0.0
2016-03-05;378,80;106,26;;;8.438999;1.939;16.375053;0.0;0.0;0.0
2016-04-05;383,70;108,58;;;20.338999;6.889;21.542923;0.3;2.0;0.0
2016-05-05;384,20;108,35;;;18.139;5.689;12.074766;0.0;0.0;0.0
2016-06-05;383,80;109,72;;;26.289;14.488999;14.277983;1.3000001;4.0;0.0
2016-09-05;386,37;109,58;;;21.239;12.738999;14.830076;1.4000001;7.0;0.0
2016-10-05;386,50;111,38;;;12.839;8.089;23.828083;4.6999993;16.0;0.0
2016-11-05;388,93;112,86;;;8.938999;3.4390001;14.654254;6.4;11.0;0.0
2016-12-05;390,20;112,45;;;-0.111;-4.011;13.009903;0.0;0.0;0.0
2016-05-13;389,06;110,50;;;21.139;8.688999;19.35314;0.2;1.0;0.0
2016-05-16;389,71;111,47;;;13.938999;6.439;24.251284;0.0;0.0;0.0
2016-05-17;389,36;111,63;;;12.789;7.489;22.553936;0.90000004;5.0;0.0
2016-05-18;386,96;108,70;;;17.939;7.739;13.009903;0.0;0.0;0.0
2016-05-19;388,20;108,77;;;20.889;9.139;9.511088;0.0;0.0;0.0
2016-05-20;388,53;109,76;;;21.689;9.389;18.416384;0.4;2.0;0.0
2016-05-23;386,86;108,03;;;24.989;15.339;17.414474;3.8;7.0;0.0
2016-05-24;385,55;107,66;;;22.939;13.889;18.792551;0.1;1.0;0.0
2016-05-25;387,70;107,78;;;18.539;13.438999;16.055353;1.0;5.0;0.0
2016-05-27;388,09;107,62;;;20.139;11.839;6.989936;0.0;0.0;0.0
2016-05-30;390,03;109,10;;;26.539;15.488999;20.598795;6.9;6.0;0.0
2016-05-31;388,79;107,46;;;24.639;14.938999;11.91812;5.8;10.0;0.0
2016-01-06;389,45;108,39;;;-6.261;-8.161;13.779114;0.0;11.0;0.0
2016-02-06;387,94;108,24;;;10.488999;4.539;15.893093;0.0;0.0;0.0
2016-03-06;387,42;109,85;;;4.389;-1.961;21.707731;8.599999;13.0;0.5
2016-06-06;387,45;110,92;;;24.139;12.289;14.77755;0.0;0.0;0.0
2016-07-06;389,31;112,88;;;19.039;12.488999;35.90086;0.2;2.0;0.0
2016-08-06;389,54;115,56;;;21.588999;14.339;19.917469;0.2;1.0;0.0
2016-09-06;390,16;114,89;;;21.639;11.289;8.217153;0.0;0.0;0.0
2016-10-06;389,54;113,64;;;12.289;10.339;22.238562;1.5;5.0;0.2
2016-06-13;389,71;112,02;;;19.588999;13.089;11.119281;4.3;10.0;0.3
2016-06-14;390,70;111,95;;;20.239;12.639;9.585739;3.3;14.0;0.3
2016-06-15;389,21;112,36;;;19.039;11.938999;11.246759;11.2;11.0;0.0
2016-06-16;389,52;112,28;;;22.289;11.639;12.181624;6.8;8.0;0.0
2016-06-17;389,70;113,88;;;18.889;13.438999;18.792551;20.8;14.0;1.7
2016-06-20;392,88;115,65;;;21.939;11.389;14.587776;0.1;1.0;0.0
2016-06-21;389,71;114,59;;;22.739;14.589;17.731598;1.5000001;7.0;0.2
2016-06-22;393,80;116,65;;;25.239;14.289;10.636766;0.0;0.0;0.0
2016-06-23;395,26;118,02;;;30.439;15.639;15.0038395;0.0;0.0;0.0
2016-06-24;392,47;116,32;;;32.889;19.489;10.041354;0.0;0.0;0.0
2016-06-27;395,19;116,34;;;22.489;13.639;15.379206;0.0;0.0;0.0
2016-06-28;395,19;119,65;;;21.439;14.289;12.620554;0.6;4.0;0.0
2016-06-29;397,58;122,86;;;24.139;14.089;22.392464;5.4;5.0;0.0
2016-06-30;399,25;124,22;;;24.588999;13.738999;17.287498;0.2;1.0;0.0
2016-01-07;399,52;123,65;;;-0.56100005;-7.211;21.385939;0.0;3.0;0.0
2016-04-07;399,69;122,45;;;11.889;2.739;18.875126;0.0;0.0;0.0
2016-05-07;400,27;121,26;;;22.689;9.539;17.399586;0.0;0.0;0.0
2016-06-07;400,19;119,96;;;24.689;11.589;8.209263;0.0;0.0;0.0
2016-07-07;404,23;120,38;;;20.939;11.988999;20.65848;0.0;0.0;0.0
2016-08-07;404,70;123,08;;;23.939;13.389;15.876775;0.0;0.0;0.0
2016-11-07;404,41;122,22;;;6.239;-0.111;12.661564;0.90000004;5.0;0.0
2016-12-07;408,02;124,06;;;3.639;-0.56100005;19.107151;0.3;2.0;0.0
2016-07-13;408,68;124,67;;;21.439;15.289;12.413477;6.0000005;8.0;0.0
2016-07-14;409,52;125,93;;;18.439;14.539;23.34455;4.5;13.0;0.0
2016-07-15;412,41;126,82;;;18.588999;10.988999;26.405453;0.3;3.0;0.0
2016-07-18;411,06;126,52;;;21.139;14.539;19.826164;0.0;0.0;0.0
2016-07-19;412,39;126,62;;;23.389;14.139;15.484185;0.0;0.0;0.0
2016-07-20;413,77;127,35;;;26.139;16.489;11.966954;0.0;0.0;0.0
2016-07-21;414,18;126,12;;;27.838999;17.039;12.43434;0.0;0.0;0.0
2016-07-22;414,95;127,29;;;28.439;16.389;13.684735;0.0;0.0;0.0
2016-07-25;414,93;126,12;;;30.189;18.039;7.7043357;0.0;0.0;0.0
2016-07-26;417,01;127,49;;;27.939;18.939;14.799459;0.8;3.0;0.0
2016-07-27;418,58;128,20;;;27.189;16.939;14.168641;7.4;6.0;0.0
2016-07-28;420,46;127,68;;;25.039;16.789;12.429127;3.1999998;7.0;0.0
2016-07-29;420,84;129,93;;;25.088999;17.489;15.596767;1.2;2.0;0.7
2016-01-08;419,95;128,35;;;3.9390001;0.489;28.385262;0.8;3.0;0.19999999
2016-02-08;421,49;128,98;;;8.938999;4.639;29.568253;5.7999997;14.0;0.0
2016-03-08;421,26;130,10;;;7.039;-2.3109999;7.771331;0.1;1.0;0.0
2016-04-08;421,51;131,76;;;13.238999;1.9890001;12.641076;0.0;0.0;0.0
2016-05-08;421,25;133,10;;;22.189;9.889;21.9718;0.0;0.0;0.0
2016-08-08;421,83;133,28;;;26.989;16.789;21.829777;0.0;0.0;0.0
2016-09-08;421,24;134,28;;;29.189;14.688999;14.88242;0.0;0.0;0.0
