Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-12-23,11.95,12.03,11.95,12.03,1404000,0.0,0.0
2021-12-27,11.85,12.12,11.85,12.11,2470500,0.0,0.0
2021-12-28,11.79,11.9,11.79,11.81,1528000,0.0,0.0
2021-12-29,11.67,11.85,11.67,11.75,798000,0.0,0.0
2021-12-30,11.52,11.6,11.48,11.57,1750000,0.0,0.0
2021-12-31,11.52,11.58,11.51,11.53,1247000,0.0,0.0
2022-01-03,11.65,11.83,11.51,11.55,1986500,0.0,0.0
2022-01-04,11.61,11.61,11.4,11.51,1287000,0.0,0.0
2022-01-05,11.4,11.41,11.22,11.25,1127500,0.0,0.0
2022-01-06,11.19,11.45,11.17,11.35,1696000,0.0,0.0
2022-01-07,11.46,11.49,11.4,11.48,1455000,0.0,0.0
2022-01-10,11.32,11.55,11.3,11.54,2455500,0.0,0.0
2022-01-11,11.36,11.71,11.36,11.65,1047500,0.0,0.0
2022-01-12,11.58,11.58,11.5,11.56,690000,0.0,0.0
2022-01-13,11.44,11.45,11.28,11.3,1445500,0.0,0.0
2022-01-14,11.25,11.34,11.25,11.29,1167000,0.0,0.0
2022-01-18,11.47,11.55,11.43,11.54,3610000,0.0,0.0
2022-01-19,11.64,11.75,11.5,11.58,3523000,0.0,0.0
2022-01-20,11.91,11.98,11.71,11.83,3325500,0.0,0.0
2022-01-21,11.73,11.89,11.72,11.72,3163500,0.0,0.0
2022-01-24,11.63,11.63,11.35,11.6,3923000,0.0,0.0
2022-01-25,11.64,11.85,11.44,11.64,2522000,0.0,0.0
2022-01-26,12.07,12.2,11.96,12.06,3316500,0.0,0.0
2022-01-27,12.07,12.2,12.07,12.09,3588500,0.0,0.0
2022-01-28,11.91,12.08,11.85,12.07,3951000,0.0,0.0
2022-01-31,12.02,12.13,12.0,12.07,2925000,0.0,0.0
2022-02-01,12.13,12.25,12.13,12.24,1189500,0.0,0.0
2022-02-02,12.46,12.48,12.36,12.38,1139000,0.0,0.0
2022-02-03,12.15,12.42,12.07,12.17,3557500,0.0,0.0
2022-02-04,12.3,12.46,12.3,12.45,972000,0.0,0.0
2022-02-07,12.56,12.61,12.51,12.52,792000,0.0,0.0
2022-02-08,12.45,12.45,12.29,12.38,1297000,0.0,0.0
2022-02-09,12.38,12.51,12.29,12.49,1201000,0.0,0.0
2022-02-10,12.19,12.3,12.11,12.16,2592500,0.0,0.0
2022-02-11,12.2,12.34,12.15,12.24,2506000,0.0,0.0
2022-02-14,12.39,12.39,12.22,12.32,1102500,0.0,0.0
2022-02-15,12.29,12.71,12.29,12.67,2971500,0.0,0.0
2022-02-16,12.64,12.64,12.48,12.55,1481500,0.0,0.0
2022-02-17,12.56,12.6,12.46,12.49,830500,0.0,0.0
2022-02-18,12.55,12.74,12.55,12.62,1261500,0.0,0.0
2022-02-22,12.56,12.56,12.38,12.46,1422000,0.0,0.0
2022-02-23,12.54,12.54,12.3,12.37,1111500,0.0,0.0
2022-02-24,12.03,12.32,12.02,12.31,1925500,0.0,0.0
2022-02-25,12.22,12.28,12.17,12.28,1568500,0.0,0.0
2022-02-28,12.42,12.56,12.42,12.56,2182500,0.0,0.0
2022-03-01,12.44,12.48,12.38,12.4,1903000,0.0,0.0
2022-03-02,12.46,12.51,12.44,12.5,1267000,0.0,0.0
2022-03-03,12.59,12.83,12.54,12.56,1131000,0.0,0.0
2022-03-04,12.54,12.76,12.45,12.51,2577000,0.0,0.0
2022-03-07,12.27,12.4,12.1,12.16,1511000,0.0,0.0
2022-03-08,11.92,12.18,11.84,11.99,1649000,0.0,0.0
2022-03-09,12.59,12.59,12.31,12.46,1913000,0.0,0.0
2022-03-10,12.28,12.49,12.28,12.35,647500,0.0,0.0
2022-03-11,12.38,12.49,12.31,12.34,499000,0.0,0.0
2022-03-14,12.13,12.27,12.09,12.1,1090000,0.0,0.0
2022-03-15,12.09,12.13,12.01,12.09,1885500,0.0,0.0
2022-03-16,12.52,12.74,12.47,12.6,1538000,0.0,0.0
2022-03-17,12.8,12.8,12.52,12.7,800500,0.0,0.0
2022-03-18,12.65,12.76,12.6,12.75,1569000,0.0,0.0
2022-03-21,12.54,12.76,12.54,12.7,1331000,0.0,0.0
2022-03-22,12.66,12.76,12.66,12.76,645500,0.0,0.0
2022-03-23,12.84,13.03,12.84,12.98,1453500,0.0,0.0
2022-03-24,13.08,13.11,13.05,13.08,879500,0.0,0.0
2022-03-25,13.26,13.43,13.21,13.25,1957500,0.0,0.0
2022-03-28,13.04,13.27,13.04,13.26,2193500,0.0,0.0
2022-03-29,13.37,13.48,13.14,13.35,6820500,0.0,0.0
2022-03-30,12.65,12.82,12.64,12.68,5020000,0.0,0.0
2022-03-31,12.62,12.62,12.29,12.43,737500,0.0,0.0
2022-04-01,12.72,12.84,12.72,12.81,1420000,0.0,0.0
2022-04-04,12.84,12.97,12.81,12.91,1013000,0.0,0.0
2022-04-05,12.82,12.82,12.5,12.51,1481000,0.0,0.0
2022-04-06,12.54,12.64,12.54,12.62,1187500,0.0,0.0
2022-04-07,12.62,12.75,12.6,12.62,1285000,0.0,0.0
2022-04-08,12.69,12.7,12.5,12.68,1178500,0.0,0.0
2022-04-11,12.58,12.6,12.51,12.51,1044000,0.0,0.0
2022-04-12,12.61,12.68,12.55,12.58,1330000,0.0,0.0
2022-04-13,12.66,12.75,12.62,12.74,1173500,0.0,0.0
2022-04-14,12.78,12.81,12.51,12.53,1844500,0.0,0.0
2022-04-18,12.48,12.48,12.37,12.39,1377500,0.0,0.0
2022-04-19,12.4,12.53,12.35,12.5,1215000,0.0,0.0
2022-04-20,12.57,12.57,12.29,12.33,2325500,0.0,0.0
2022-04-21,12.34,12.49,12.15,12.19,1668500,0.0,0.0
2022-04-22,12.17,12.22,12.1,12.11,1478000,0.0,0.0
2022-04-25,11.78,12.22,11.78,12.22,1125000,0.0,0.0
2022-04-26,12.05,12.05,11.69,11.7,1047000,0.0,0.0
2022-04-27,11.82,11.84,11.67,11.75,969000,0.0,0.0
2022-04-28,11.65,11.65,11.2,11.36,2369000,0.0,0.0
2022-04-29,11.35,11.46,11.25,11.25,1161500,0.0,0.0
2022-05-02,10.98,11.22,10.92,11.0,2965500,0.0,0.0
2022-05-03,10.87,11.11,10.87,11.05,1510000,0.0,0.0
2022-05-04,11.26,11.27,11.01,11.27,1295000,0.0,0.0
2022-05-05,11.28,11.28,10.85,10.94,4298000,0.0,0.0
2022-05-06,10.81,10.95,10.74,10.86,2323500,0.0,0.0
2022-05-09,10.44,10.67,10.44,10.5,2535000,0.0,0.0
2022-05-10,10.94,11.21,10.36,10.71,5844500,0.0,0.0
2022-05-11,10.93,11.12,10.84,10.84,3613000,0.0,0.0
2022-05-12,10.77,11.08,10.77,10.98,1671500,0.0,0.0
2022-05-13,10.92,11.0,10.92,10.98,1243500,0.0,0.0
2022-05-16,10.65,10.87,10.65,10.78,1340000,0.0,0.0
2022-05-17,10.86,11.08,10.86,10.97,1844500,0.0,0.0
2022-05-18,11.36,11.45,11.19,11.24,2150000,0.0,0.0
2022-05-19,11.25,11.49,11.25,11.38,2281500,0.0,0.0
2022-05-20,11.5,11.5,11.28,11.38,1709500,0.0,0.0
2022-05-23,11.43,11.63,11.43,11.53,1604000,0.0,0.0
2022-05-24,11.53,11.63,11.46,11.53,3346000,0.0,0.0
2022-05-25,10.97,11.17,10.97,11.15,1160500,0.0,0.0
2022-05-26,11.1,11.26,11.1,11.22,832500,0.0,0.0
2022-05-27,10.99,11.1,10.99,11.08,901000,0.0,0.0
2022-05-31,11.13,11.13,10.96,10.98,1201000,0.0,0.0
2022-06-01,11.08,11.19,11.0,11.0,1940500,0.0,0.0
2022-06-02,10.87,10.99,10.87,10.97,2180000,0.0,0.0
2022-06-03,10.71,10.89,10.71,10.75,1653000,0.0,0.0
2022-06-06,10.86,11.04,10.82,10.91,1456500,0.0,0.0
2022-06-07,10.73,10.95,10.73,10.89,1702500,0.0,0.0
2022-06-08,10.71,10.92,10.71,10.79,910500,0.0,0.0
2022-06-09,11.04,11.04,10.88,10.91,1226500,0.0,0.0
2022-06-10,10.86,10.87,10.67,10.69,1591000,0.0,0.0
2022-06-13,10.63,10.63,10.46,10.46,1651500,0.0,0.0
2022-06-14,10.52,10.67,10.36,10.45,2952000,0.0,0.0
2022-06-15,10.27,10.47,10.27,10.42,1305000,0.0,0.0
2022-06-16,10.26,10.39,10.26,10.33,1297000,0.0,0.0
2022-06-17,10.37,10.37,10.25,10.3,1195500,0.0,0.0
2022-06-21,10.66,10.66,10.31,10.47,1107000,0.0,0.0
2022-06-22,10.34,10.54,10.34,10.43,1089000,0.0,0.0
2022-06-23,10.32,10.53,10.31,10.51,1358000,0.0,0.0
2022-06-24,10.76,10.76,10.54,10.7,1094500,0.0,0.0
2022-06-27,10.68,10.68,10.61,10.64,1393500,0.0,0.0
2022-06-28,10.72,10.8,10.67,10.7,975500,0.0,0.0
2022-06-29,10.82,10.82,10.51,10.66,701500,0.0,0.0
2022-06-30,10.43,10.68,10.43,10.63,1001500,0.0,0.0
2022-07-01,10.56,10.56,10.31,10.51,1376000,0.0,0.0
2022-07-05,10.55,10.76,10.54,10.68,893000,0.0,0.0
2022-07-06,10.9,10.9,10.65,10.67,1171000,0.0,0.0
2022-07-07,10.56,10.68,10.56,10.68,1843500,0.0,0.0
2022-07-08,10.3,10.66,10.3,10.57,663500,0.0,0.0
2022-07-11,10.59,10.62,10.57,10.58,1150000,0.0,0.0
2022-07-12,10.57,10.81,10.57,10.75,479000,0.0,0.0
2022-07-13,10.57,10.8,10.57,10.8,832500,0.0,0.0
2022-07-14,10.78,10.78,10.59,10.72,509000,0.0,0.0
2022-07-15,10.77,11.11,10.77,11.1,2085000,0.0,0.0
2022-07-18,11.06,11.2,11.04,11.13,1775500,0.0,0.0
2022-07-19,11.06,11.06,10.85,10.92,775500,0.0,0.0
2022-07-20,10.96,11.2,10.96,11.07,1006000,0.0,0.0
2022-07-21,11.1,11.1,10.98,11.06,805000,0.0,0.0
2022-07-22,11.11,11.19,11.07,11.09,719500,0.0,0.0
2022-07-25,11.1,11.1,10.95,11.0,1216500,0.0,0.0
2022-07-26,10.96,10.96,10.75,10.75,1685500,0.0,0.0
2022-07-27,10.67,11.01,10.67,10.92,478000,0.0,0.0
2022-07-28,11.06,11.06,10.93,11.02,548000,0.0,0.0
2022-07-29,10.92,11.12,10.92,11.06,888500,0.0,0.0
2022-08-01,10.87,11.04,10.86,11.03,611000,0.0,0.0
2022-08-02,11.06,11.06,10.75,10.77,858500,0.0,0.0
2022-08-03,10.41,10.41,10.07,10.32,4409000,0.0,0.0
2022-08-04,10.47,10.59,10.39,10.59,974000,0.0,0.0
2022-08-05,10.96,10.96,10.63,10.68,1468000,0.0,0.0
2022-08-08,10.57,10.61,10.43,10.52,797000,0.0,0.0
