Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04,3.41,3.41,3.37,3.41,343500,0.0,0.0
2016-01-05,3.38,3.38,3.27,3.27,1244000,0.0,0.0
2016-01-06,3.13,3.13,3.08,3.11,372500,0.0,0.0
2016-01-07,3.12,3.18,3.12,3.16,358000,0.0,0.0
2016-01-08,3.19,3.22,3.16,3.17,120500,0.0,0.0
2016-01-11,3.17,3.17,3.15,3.16,239500,0.0,0.0
2016-01-12,3.11,3.11,3.03,3.06,322000,0.0,0.0
2016-01-13,3.22,3.22,3.14,3.15,173000,0.0,0.0
2016-01-14,3.12,3.13,3.09,3.13,105000,0.0,0.0
2016-01-15,3.08,3.09,3.04,3.07,254500,0.0,0.0
2016-01-19,3.38,3.4,3.33,3.36,3433500,0.0,0.0
2016-01-20,3.14,3.16,3.08,3.12,651000,0.0,0.0
2016-01-21,3.14,3.18,3.11,3.17,801500,0.0,0.0
2016-01-22,3.36,3.37,3.31,3.37,823500,0.0,0.0
2016-01-25,3.34,3.34,3.26,3.27,435500,0.0,0.0
2016-01-26,3.34,3.37,3.33,3.36,397000,0.0,0.0
2016-01-27,3.26,3.31,3.25,3.27,475500,0.0,0.0
2016-01-28,3.29,3.29,3.24,3.25,290500,0.0,0.0
2016-01-29,3.43,3.47,3.39,3.47,719500,0.0,0.0
2016-02-01,3.51,3.52,3.48,3.52,606000,0.0,0.0
2016-02-02,3.52,3.71,3.51,3.62,1320500,0.0,0.0
2016-02-03,3.51,3.52,3.44,3.49,776000,0.0,0.0
2016-02-04,3.56,3.6,3.55,3.58,738500,0.0,0.0
2016-02-05,3.58,3.58,3.53,3.53,270500,0.0,0.0
2016-02-08,3.64,3.64,3.52,3.57,639000,0.0,0.0
2016-02-09,3.37,3.4,3.36,3.4,360500,0.0,0.0
2016-02-10,3.36,3.36,3.31,3.31,1269000,0.0,0.0
2016-02-11,3.27,3.28,3.23,3.28,785000,0.0,0.0
2016-02-12,3.18,3.26,3.17,3.26,533500,0.0,0.0
2016-02-16,3.42,3.44,3.4,3.41,209000,0.0,0.0
2016-02-17,3.42,3.43,3.41,3.43,309500,0.0,0.0
2016-02-18,3.57,3.63,3.53,3.53,262000,0.0,0.0
2016-02-19,3.51,3.51,3.47,3.49,913000,0.0,0.0
2016-02-22,3.57,3.63,3.57,3.63,1531500,0.0,0.0
2016-02-23,3.61,3.61,3.56,3.56,444000,0.0,0.0
2016-02-24,3.53,3.56,3.48,3.56,237000,0.0,0.0
2016-02-25,3.56,3.57,3.52,3.57,312500,0.0,0.0
2016-02-26,3.31,3.32,3.24,3.29,778500,0.0,0.0
2016-02-29,3.33,3.46,3.33,3.43,82000,0.0,0.0
2016-03-01,3.4,3.42,3.39,3.42,144000,0.0,0.0
2016-03-02,3.42,3.46,3.42,3.46,109000,0.0,0.0
2016-03-03,3.54,3.57,3.54,3.57,147500,0.0,0.0
2016-03-04,3.63,3.63,3.59,3.59,82500,0.0,0.0
2016-03-07,3.43,3.43,3.37,3.41,150000,0.0,0.0
2016-03-08,3.46,3.46,3.43,3.43,73000,0.0,0.0
2016-03-09,3.45,3.46,3.43,3.46,55000,0.0,0.0
